Course	Room	Teacher	Time	Students
84	6 - A, 1	57	6	1995 1608 1514 1231 1141 1002 828 780 530 456 253 1481 1049 1040 293 17 1900 1660 1632 1540 1071 825 802 616 470 408 237 183 1976 875 773 615 263 81 
51	6 - A, 1	39	2	1654 1345 1255 1248 956 846 803 740 709 678 621 516 393 379 349 1870 1702 1700 1610 1176 1081 560 486 474 312 1952 1455 1452 1395 777 752 25 1374 577 221 
21	6 - A, 1	93	4	598 1814 1688 1592 1502 1235 1197 831 228 1672 1282 1219 1213 1180 721 630 542 366 56 1494 1490 1301 1233 1021 946 818 466 332 330 1639 1624 904 852 549 12 
244	6 - A, 1	107	5	1971 1940 1766 1737 1838 1734 1546 1424 1404 1351 1324 1202 1040 937 906 874 761 555 168 73 1875 1716 866 705 553 401 111 9 1810 1794 1294 1188 512 403 
1	5 - C, 2	2	0	1980 1963 1912 1874 1850 1748 1668 1618 1539 1495 1436 1397 1334 1289 1250 1187 1074 1065 909 903 864 862 786 764 676 665 645 615 607 582 580 508 481 435 346 320 299 214 200 159 98 51 1980 1963 1912 1874 1850 1748 1668 1618 1539 1495 1436 1397 1334 1289 1250 1187 1074 1065 909 903 864 862 786 764 676 665 645 615 607 582 580 508 481 435 346 320 299 214 200 159 98 51 1980 1963 1912 1874 1850 1748 1668 1618 1539 1495 1436 1397 1334 1289 1250 1187 1074 1065 909 903 864 862 786 764 676 665 645 615 607 582 580 508 481 435 346 320 299 214 200 159 98 51 
148	6 - A, 1	107	1	1904 1895 1884 1853 1691 1299 1182 1050 912 854 803 391 374 323 248 233 1513 1508 1337 531 224 45 1745 1494 1311 1013 925 483 445 1594 1307 1080 784 716 569 
23	6 - A, 1	124	8	1856 1679 1402 1112 1090 1070 1015 727 709 449 1827 1646 1446 1367 668 127 39 1795 1662 1532 999 939 814 798 744 193 49 1787 1758 1294 1260 1048 222 108 
188	6 - A, 1	76	9	1613 1475 1327 1275 451 412 1919 1913 1610 1366 929 906 900 894 850 820 524 372 354 307 85 1195 1137 867 247 76 72 11 1467 1247 841 112 59 
3	6 - A, 1	110	0	1860 1804 1763 1761 1721 1635 1548 1465 1260 1256 1217 1037 968 954 893 880 722 718 635 572 568 383 376 361 278 272 269 263 59 1860 1804 1763 1761 1721 1635 1548 1465 1260 1256 1217 1037 968 954 893 880 722 718 635 572 568 383 376 361 278 272 269 263 59 1860 1804 1763 1761 1721 1635 1548 1465 1260 1256 1217 1037 968 954 893 880 722 718 635 572 568 383 376 361 278 272 269 263 59 
170	7 - C, 2	15	6	1844 1713 1413 1255 1061 974 949 859 637 352 175 171 113 1753 947 485 411 362 101 1934 1730 1701 1147 1047 991 806 693 566 1783 1615 1247 960 842 830 
242	7 - C, 2	35	8	1978 1971 1950 1631 973 232 1878 1848 1544 1346 1278 1084 824 217 94 1828 1660 1597 1593 1557 1389 1158 747 729 433 190 155 1862 1829 1720 1719 1187 1048 
113	7 - C, 2	5	3	1779 1705 1130 751 659 658 511 465 296 1949 1785 1647 1588 1272 767 730 623 524 388 341 203 85 38 1687 1254 799 706 616 251 155 1763 1576 1486 264 86 
90	7 - C, 2	46	4	1977 1950 1779 1691 1640 1461 1405 1023 794 589 477 275 267 1983 1964 1651 1403 1326 730 720 694 686 661 641 189 32 1172 1147 897 590 523 1471 774 582 229 
198	7 - C, 2	51	5	1948 1789 1555 1169 1018 685 658 585 506 150 1827 1218 1202 975 969 889 775 600 563 513 356 304 301 148 1474 1364 860 814 298 146 1692 1178 862 43 
136	7 - C, 2	14	1	1962 1603 1571 1412 1061 966 652 296 257 31 1937 1672 1213 1106 809 795 636 555 279 201 66 23 1846 1677 1520 1341 998 763 591 87 1731 864 346 278 223 
141	7 - C, 2	108	7	1770 1717 1551 1499 1368 959 751 573 409 317 206 205 150 89 1848 1815 1659 1110 1089 931 540 454 210 1677 895 883 680 551 103 1860 1851 1108 757 435 
132	7 - C, 2	82	2	1881 1790 1636 1552 1470 861 316 231 172 169 1825 1513 1377 1110 850 653 538 312 32 1957 1921 1507 1483 818 488 408 166 146 1991 1797 1758 1078 612 24 5 
44	7 - C, 2	94	9	1608 1285 829 794 787 530 1877 1837 1697 1573 1561 1351 1229 561 542 509 411 93 1924 1540 1525 1195 1163 1099 562 1711 1517 1276 1251 1178 848 376 270 263 
13	9 - A, 1	34	0	1999 1903 1872 1835 1622 1564 1340 1307 1297 1242 1232 1183 1178 1046 1042 990 979 948 904 877 833 632 631 592 569 468 285 46 
206	9 - A, 1	46	7	1329 1245 1151 1101 780 740 588 559 287 275 244 175 1809 1697 1626 1425 649 625 273 184 22 1812 1793 1524 1440 991 972 866 655 136 1307 1171 982 971 722 507 
33	9 - A, 1	94	8	1717 1607 1226 1061 912 751 462 357 83 1673 1424 1344 1336 955 778 724 581 520 418 356 335 118 1812 1675 1625 1612 1441 397 1981 1906 692 676 396 389 264 135 
135	9 - A, 1	22	3	1740 1565 1416 1338 1296 839 828 511 391 359 1983 1585 1164 1026 894 755 720 538 432 378 344 189 85 39 1861 1311 460 79 1999 1988 1305 1283 893 507 322 238 149 
122	9 - A, 1	78	4	1581 1416 1380 1079 666 137 113 1567 1119 1113 1081 418 362 1861 1840 1820 1706 1185 1099 818 754 744 448 446 397 382 364 262 138 1383 1074 935 908 749 575 507 86 
43	9 - A, 1	50	5	1617 1277 1015 228 172 1781 1734 1546 1404 919 890 809 670 377 358 313 306 78 1934 1816 1813 1595 1497 1482 1223 812 712 706 470 348 1225 1220 1078 909 774 274 234 
246	9 - A, 1	90	6	1784 1777 1325 1263 535 384 133 1877 1848 1535 1392 1243 1129 1005 785 653 350 1921 1507 1102 1001 690 419 399 298 236 65 44 16 1987 1869 1305 1300 1228 582 143 
219	9 - A, 1	36	1	2000 1636 1384 1044 961 400 381 365 114 15 1964 1578 1478 1073 994 947 891 531 305 241 1966 1628 1558 1494 1031 482 271 155 103 42 9 1874 1564 1317 525 467 51 
207	9 - A, 1	85	2	1944 1879 1591 1384 1318 287 248 125 34 1703 1578 1498 1344 1085 756 265 160 45 1905 1745 1456 1452 1393 1269 1230 1179 1161 1038 79 1912 1810 1486 1123 880 864 836 804 
208	9 - A, 1	117	9	1653 1607 1086 934 662 627 480 2 1864 1476 1135 1118 1026 574 471 286 1936 1875 1857 1752 1590 1518 1058 892 562 518 490 419 351 1860 1760 1517 1266 1034 607 
213	10 - B, 0	52	3	1713 1705 1454 1353 559 338 120 96 1825 1354 1075 1029 994 775 378 1690 1427 1333 907 145 1783 1600 1370 1320 1217 212 
230	10 - B, 0	77	2	1990 1897 1766 1699 1212 993 887 873 843 782 595 412 205 1878 667 663 443 1530 1485 1270 972 583 271 1374 1361 1286 154 
192	10 - B, 0	108	5	1475 1262 1104 859 1916 1878 1437 1282 947 781 437 252 1596 1593 1093 1911 1757 1615 1059 
178	10 - B, 0	31	8	1770 1762 1589 1329 915 871 662 422 323 314 216 14 1546 1272 1203 1192 1000 916 335 201 3 1764 1520 1489 1435 1312 1211 1190 1159 998 599 466 364 1906 988 129 
237	10 - B, 0	35	1	1691 1018 1010 966 936 526 410 220 1695 1167 1138 1113 881 694 377 304 226 207 191 1930 1667 1301 883 747 586 364 309 303 50 1220 552 487 
197	10 - B, 0	101	4	1972 1807 1503 1411 1353 1224 1146 963 959 220 113 1821 1710 1538 1476 1155 1020 698 677 563 337 1953 1733 1638 1099 1083 922 821 753 739 674 351 321 145 1635 1436 1187 1069 1067 926 764 468 147 
179	10 - B, 0	70	7	1951 1904 1873 1603 1182 1030 981 959 626 584 529 425 412 239 172 1958 1837 1827 1506 1119 1118 1064 938 876 726 581 543 218 163 1518 1347 1321 1083 892 731 539 288 1981 1871 1579 1465 930 407 299 
191	10 - B, 0	48	6	1729 1362 1316 1245 1198 1051 469 425 1929 1925 1841 1626 1458 1219 1210 1202 1200 919 911 601 3 1920 1736 1685 1660 1523 1452 1162 879 434 76 1998 1803 1721 1465 1300 642 546 
164	10 - B, 0	9	9	1979 1922 1411 1281 1154 1148 831 597 1847 1839 1728 1538 1528 1398 1144 940 721 670 522 207 1924 1865 1730 1482 1385 1211 498 484 303 235 1559 1319 852 817 805 632 606 572 504 444 302 299 139 
56	11 - B, 0	23	8	1460 1296 1198 1086 873 1661 695 73 1820 1606 799 669 539 237 208 54 41 1773 385 80 
107	11 - B, 0	20	4	1984 1909 1843 1318 1245 956 951 735 675 1506 653 628 217 1649 1177 332 156 1894 1794 1719 512 468 223 
58	11 - B, 0	109	2	1985 1777 1671 1553 1285 885 778 331 1817 1649 382 271 251 128 1772 1580 1486 1400 1297 1286 1174 1122 1068 320 
34	11 - B, 0	41	5	1679 1368 1345 996 992 687 1646 1259 885 619 437 335 210 203 39 1715 1341 1322 503 436 427 47 476 
214	11 - B, 0	92	1	1856 1755 1318 1024 715 462 458 290 10 1125 522 402 1930 1793 1663 1655 1270 1031 701 562 521 208 167 75 
109	11 - B, 0	73	7	1931 1688 1265 1212 1092 1929 1351 834 736 730 653 600 565 353 1741 1730 1706 1389 1381 1102 1554 745 
29	11 - B, 0	27	6	1948 1873 1553 1461 1222 905 789 659 535 1710 1661 1659 1132 700 402 1898 1663 1430 1131 266 1511 238 59 
5	24 - B, 0	97	4	1987 1869 1746 1742 1504 1448 1439 1438 1428 1423 1422 1304 1300 1283 1276 1261 1247 1240 1225 1156 1059 1006 995 960 935 908 842 723 596 577 487 405 310 270 229 225 199 197 167 1987 1869 1746 1742 1504 1448 1439 1438 1428 1423 1422 1304 1300 1283 1276 1261 1247 1240 1225 1156 1059 1006 995 960 935 908 842 723 596 577 487 405 310 270 229 225 199 197 167 1987 1869 1746 1742 1504 1448 1439 1438 1428 1423 1422 1304 1300 1283 1276 1261 1247 1240 1225 1156 1059 1006 995 960 935 908 842 723 596 577 487 405 310 270 229 225 199 197 167 
88	11 - B, 0	55	3	1881 1756 1631 981 967 828 1538 1376 1367 1366 148 130 1936 1602 1269 998 739 419 67 11 1414 941 857 718 
30	11 - B, 0	49	9	1775 1537 1402 868 469 172 1614 1437 697 1813 957 166 1639 797 261 119 
7	12 - A, 1	95	0	1976 1923 1891 1868 1796 1787 1782 1751 1743 1600 1469 1421 1320 1274 1053 898 884 849 848 801 745 737 629 571 541 501 475 459 322 284 243 240 177 154 80 61 
114	12 - A, 1	111	8	1971 1679 1406 1396 1221 1127 1011 1002 847 715 125 1839 1237 889 695 673 672 630 601 486 450 90 1633 1455 1236 1186 713 392 235 136 1896 1751 1566 774 473 421 278 243 51 
57	12 - A, 1	111	6	1866 1814 1653 1553 1499 1453 1061 1015 974 840 534 386 1403 942 600 341 307 1957 1662 1509 1473 1445 1369 1172 1109 897 375 297 291 100 44 1391 1334 1303 1240 1232 737 508 405 254 131 
111	12 - A, 1	110	5	1686 1460 1268 1175 1087 1079 675 239 97 33 1961 1929 1700 1415 1377 1279 1207 1075 886 622 496 313 308 249 241 141 55 1696 1650 1540 1532 1530 1179 957 494 9 1579 1217 982 944 779 112 
129	12 - A, 1	5	4	1962 1946 1889 1723 1418 1285 949 813 449 260 231 70 53 1841 1726 1673 1573 1403 1094 1035 542 474 443 305 195 184 4 1722 1482 1442 1393 1058 705 679 518 155 1851 1074 1019 788 289 75 
223	12 - A, 1	114	7	1979 1889 1694 1684 1613 1479 393 204 113 60 33 1847 901 820 697 609 492 454 307 176 165 73 1480 1343 1166 991 923 920 892 533 124 47 1719 1616 1421 1107 733 571 414 147 
140	12 - A, 1	97	2	2000 1996 1671 1621 1323 1277 1087 1076 1070 981 559 514 317 179 1768 1647 1476 1253 1138 945 881 870 301 249 217 58 17 1778 1612 1543 1509 1450 920 713 424 363 194 1616 1187 1100 1069 933 361 149 52 
174	12 - A, 1	44	1	1927 1819 1789 1765 1756 1686 1631 1571 1197 1191 776 659 204 1982 1918 1833 1538 1349 1278 1143 1142 1064 932 767 574 536 417 176 1373 1309 1190 1159 1140 922 771 498 330 298 251 117 67 1751 1067 475 467 329 328 211 187 
186	12 - A, 1	93	3	1995 1940 1888 1884 1496 1491 1443 1429 1314 1298 1095 621 102 60 1973 1234 1144 1103 989 928 886 762 661 617 279 242 1854 1540 1474 1464 1223 1045 899 517 404 321 1989 1797 1618 1308 745 481 
28	12 - A, 1	41	9	1296 1235 228 1867 1895 1740 1676 1460 1221 1087 1017 986 961 647 545 1651 1611 1561 796 486 426 306 121 68 1440 1363 1348 1295 1291 1185 1025 883 707 680 145 65 50 1145 988 
168	13 - A, 1	84	8	1947 1744 1686 1353 791 782 658 316 60 1703 1585 931 335 73 1649 1204 1021 669 380 209 1725 1711 1334 884 817 716 185 81 
184	13 - A, 1	100	7	1583 1406 1148 544 423 10 1913 1805 1234 1110 1088 955 850 371 219 4 1510 777 743 579 503 128 13 495 396 311 282 112 
116	13 - A, 1	80	3	1836 1041 973 544 1805 1785 1700 1431 1332 1084 911 756 342 141 4 1816 1685 1655 1190 1177 1140 1098 452 431 115 1772 1410 995 944 569 
101	13 - A, 1	74	4	1814 1755 1355 1323 1010 352 33 1958 1750 1712 917 834 1704 1216 1170 1128 815 746 674 1609 1598 1274 1156 853 832 723 644 532 329 98 
249	13 - A, 1	37	5	1931 1130 1105 1022 1918 1657 1207 725 670 602 142 127 118 58 1915 1905 1818 1606 1595 1529 1430 1306 882 746 464 1748 1300 1287 414 
153	13 - A, 1	105	1	1897 1790 1552 1281 598 585 456 412 123 1899 1732 1279 714 68 1681 1637 1526 1339 1321 1058 1001 957 879 753 441 1436 1067 910 415 403 
