Course	Room	Teacher	Time	Students
94	19 - B, 0	4	6	1948 1729 675 666 516 1973 1798 760 683 1623 1574 1091 707 558 433 100 1072 1042 1014 692 611 495 310 52 37 
226	19 - B, 0	96	4	1501 1368 1268 1126 1018 727 381 250 133 1619 876 633 219 1342 1083 699 570 521 452 11 1639 1428 1042 345 71 
171	19 - B, 0	62	5	164 1678 1357 1142 1129 1040 906 1834 1736 1489 1128 807 729 699 651 404 401 193 1620 1340 1294 908 786 765 263 
32	19 - B, 0	60	1	1995 1946 1477 1329 1281 905 819 588 1949 1094 1064 442 1834 1690 1295 964 815 583 570 493 1550 1068 1019 582 528 394 369 177 
217	19 - B, 0	28	2	1977 1928 1889 1399 1152 992 327 1916 1878 1683 1541 1085 331 122 1953 1952 1597 1558 925 464 1548 1072 1042 614 343 282 20 
229	19 - B, 0	63	3	1555 1041 314 295 290 1826 1786 919 601 163 1965 1875 1452 1309 710 634 591 309 146 1999 1988 1193 979 941 421 20 
233	19 - B, 0	104	9	1977 1849 1011 827 734 709 447 1799 1611 1541 1398 1376 1129 681 378 362 304 69 1769 1644 1627 1427 1342 1896 
5	24 - B, 0	97	4	1987 1869 1746 1742 1504 1448 1439 1438 1428 1423 1422 1304 1300 1283 1276 1261 1247 1240 1225 1156 1059 1006 995 960 935 908 842 723 596 577 487 405 310 270 229 225 199 197 167 1987 1869 1746 1742 1504 1448 1439 1438 1428 1423 1422 1304 1300 1283 1276 1261 1247 1240 1225 1156 1059 1006 995 960 935 908 842 723 596 577 487 405 310 270 229 225 199 197 167 1987 1869 1746 1742 1504 1448 1439 1438 1428 1423 1422 1304 1300 1283 1276 1261 1247 1240 1225 1156 1059 1006 995 960 935 908 842 723 596 577 487 405 310 270 229 225 199 197 167 
202	20 - A, 1	58	1	1985 1762 1613 1500 1130 1127 1105 1077 381 295 1811 
215	20 - A, 1	29	2	1591 1095 1050 956 871 783 689 657 479 290 99 
156	20 - A, 1	29	3	1990 1226 1023 317 179 1994 1961 1647 1176 890 795 
120	20 - A, 1	33	4	1792 1636 1581 1503 1245 1194 1076 750 691 171 1899 
62	20 - A, 1	12	5	1879 1844 1345 1226 608 535 340 179 107 1949 1918 
158	20 - A, 1	102	6	1807 1800 981 652 1734 1459 1417 1132 1094 1035 943 
108	20 - A, 1	59	7	1800 1296 985 819 244 31 1890 1768 1726 1689 1674 
235	20 - A, 1	40	8	1909 1570 1542 1316 1252 359 1958 1885 1707 1674 1508 
161	20 - A, 1	47	9	1807 1718 1547 787 637 613 608 260 144 1964 1707 
157	21 - A, 1	33	3	1054 993 873 831 1876 1626 1492 1201 876 496 344 57 1965 1633 1109 953 907 872 680 466 321 1782 1517 1069 749 407 59 
68	21 - A, 1	21	8	1866 1774 1766 1729 1724 1584 1288 829 576 368 1994 1839 1805 1459 1259 426 406 218 18 1572 1157 1071 747 499 321 1976 
231	21 - A, 1	26	2	1694 1146 1114 595 70 1908 1852 1689 1648 1544 1344 890 1828 1490 1339 1045 710 579 182 115 1423 1382 1124 1074 1012 435 346 
245	21 - A, 1	104	7	1985 1944 1679 1695 1433 1120 1117 1081 510 454 241 1450 1177 1007 972 799 251 6 1999 1998 1901 1664 1260 835 722 302 
131	21 - A, 1	34	4	1935 1831 1358 794 671 593 2 1 1732 1237 1097 683 372 1704 1556 1505 1331 1249 1215 977 939 923 136 1422 801 596 37 
115	21 - A, 1	63	5	1784 1723 1592 1479 1418 1299 1263 1205 1101 511 386 267 1588 1229 811 781 497 428 160 38 1473 1435 539 503 1855 1550 1016 
35	21 - A, 1	17	6	1975 1849 1832 1555 1399 1368 1221 671 605 420 400 1852 1659 1279 810 66 1736 1715 1687 1575 1543 1347 408 1576 805 607 222 
3	6 - A, 1	110	0	1860 1804 1763 1761 1721 1635 1548 1465 1260 1256 1217 1037 968 954 893 880 722 718 635 572 568 383 376 361 278 272 269 263 59 1860 1804 1763 1761 1721 1635 1548 1465 1260 1256 1217 1037 968 954 893 880 722 718 635 572 568 383 376 361 278 272 269 263 59 1860 1804 1763 1761 1721 1635 1548 1465 1260 1256 1217 1037 968 954 893 880 722 718 635 572 568 383 376 361 278 272 269 263 59 
103	21 - A, 1	57	1	1943 1873 1698 1686 1191 648 610 447 173 1786 1088 775 411 224 217 1543 1505 1485 1270 731 616 1868 1708 1471 1439 1308 1124 200 
209	21 - A, 1	10	9	1909 827 738 564 169 158 97 1415 1394 1234 736 668 500 142 1875 1587 1445 1364 1168 1872 1027 1019 430 311 71 
74	22 - B, 0	53	5	1940 1832 787 384 275 1937 1867 1811 1670 1487 1459 1125 881 856 816 273 255 1558 1523 1172 999 821 806 319 54 1560 1242 1193 676 501 
55	22 - B, 0	15	7	1380 1165 1050 595 1712 1282 863 617 560 547 1557 1003 953 380 334 277 27 13 1804 1539 1471 1467 1410 1232 1014 971 325 283 
133	22 - B, 0	125	3	1956 1652 1338 1104 1017 843 605 589 545 357 164 1833 1703 1697 1604 1487 1386 1160 1103 913 876 837 455 1381 768 553 72 1773 1576 1261 835 611 159 
93	22 - B, 0	25	4	1843 1737 1231 1169 986 915 621 1192 994 874 810 760 3 1966 1820 1216 1045 892 821 706 460 363 351 266 186 1692 1297 1238 1156 918 569 276 270 
150	22 - B, 0	6	1	1979 1956 1922 1537 1519 1402 613 534 77 1645 1346 1136 1117 1000 694 255 218 105 1840 1749 1747 1677 1623 1497 1480 1441 1131 950 696 1988 1426 893 596 
54	22 - B, 0	68	6	1986 1698 1676 1447 1335 1265 1154 1141 822 627 161 34 1933 1913 1910 1049 1000 496 1905 1857 1749 1557 1521 1013 517 494 8 1796 1742 1469 757 325 
146	22 - B, 0	115	2	1589 1133 1018 980 735 715 678 253 31 28 1727 1645 1376 1372 1192 280 23 1634 1098 800 752 729 448 100 1635 1397 1305 1250 845 532 61 
40	22 - B, 0	99	8	1935 1902 1866 1806 1501 1358 1175 738 410 367 230 227 120 1997 1821 1528 1253 1180 945 940 1858 1830 1764 1745 1509 1071 946 771 754 494 446 348 330 84 72 65 1414 1370 1065 108 
31	22 - B, 0	75	9	1928 1771 1584 1581 1126 410 391 1673 1648 1409 1088 795 688 636 628 390 279 29 1900 1865 1627 1464 1312 1190 1161 156 1992 1842 1758 1504 968 546 407 383 270 
117	23 - C, 2	88	7	1843 1432 1222 1090 921 735 637 598 423 352 1753 1695 1683 1365 969 945 940 932 700 478 218 82 1512 899 578 523 515 54 1845 1356 952 804 718 439 211 129 
177	23 - C, 2	113	2	1996 1765 1744 1555 1105 1057 956 715 626 1734 1672 1394 1089 855 485 417 292 121 1816 1677 1562 1419 1306 1208 763 739 656 579 1963 1939 1383 908 904 403 200 154 40 
52	23 - C, 2	64	3	1656 1184 1141 993 980 735 732 398 150 33 1859 1838 1786 1328 1210 492 286 170 118 35 1965 1752 1521 1385 1301 999 964 851 693 1796 1787 1273 1257 1171 1034 159 43 
19	23 - C, 2	48	4	423 279 1776 1718 1640 1629 1418 1345 1323 1165 769 685 618 447 324 14 1827 1673 1237 366 337 29 23 1914 1817 1793 1764 1149 1093 897 562 1938 1531 682 508 214 61 
212	23 - C, 2	19	5	1765 1756 1684 1658 1288 1004 936 831 664 597 529 1781 1392 1386 1203 917 761 649 623 561 312 308 78 978 825 567 100 50 16 1469 1289 944 587 572 421 346 
147	23 - C, 2	75	6	1724 1713 1293 1271 1255 1248 1022 859 708 544 357 1541 1417 1376 1237 1160 1052 761 704 672 650 633 609 281 1934 1628 701 656 521 494 300 1693 1536 976 119 98 
50	23 - C, 2	4	1	1744 1676 1621 1617 1549 1057 912 819 758 489 462 386 275 1768 1750 1125 698 538 402 372 1960 1915 1887 1840 1623 1593 1557 1457 1343 1223 151 1666 1391 1388 1307 1124 1006 958 
112	23 - C, 2	56	8	1993 1986 1954 1652 1568 1547 1514 1443 1407 1265 1235 974 934 924 921 789 230 1890 1726 1588 1142 886 704 450 210 58 1574 1562 1534 1468 872 424 645 369 269 81 
27	23 - C, 2	112	9	457 109 942 726 1959 1493 1432 1293 1104 951 927 854 813 220 204 1498 1404 1032 660 619 565 548 388 1759 1464 1172 851 690 117 6 1796 1748 1560 1548 962 805 
18	24 - B, 0	17	3	1806 1776 1621 1496 1453 1292 859 703 425 1994 1867 1619 1528 1401 1375 855 667 64 1738 1715 1596 1526 1363 1157 798 742 731 586 111 1317 541 
39	24 - B, 0	32	1	1975 1968 1943 1762 1092 1090 996 951 912 823 652 374 336 133 28 1791 1604 1578 1352 1118 955 931 741 273 255 219 105 1857 1834 1312 472 464 441 208 84 1511 682 580 329 311 
20	24 - B, 0	123	2	1946 1671 1652 1581 1475 1271 671 662 107 1431 1176 1113 720 153 1330 674 558 215 8 1980 1939 1803 1725 1666 1469 1304 1107 1072 960 
1	5 - C, 2	2	0	1980 1963 1912 1874 1850 1748 1668 1618 1539 1495 1436 1397 1334 1289 1250 1187 1074 1065 909 903 864 862 786 764 676 665 645 615 607 582 580 508 481 435 346 320 299 214 200 159 98 51 1980 1963 1912 1874 1850 1748 1668 1618 1539 1495 1436 1397 1334 1289 1250 1187 1074 1065 909 903 864 862 786 764 676 665 645 615 607 582 580 508 481 435 346 320 299 214 200 159 98 51 1980 1963 1912 1874 1850 1748 1668 1618 1539 1495 1436 1397 1334 1289 1250 1187 1074 1065 909 903 864 862 786 764 676 665 645 615 607 582 580 508 481 435 346 320 299 214 200 159 98 51 
5	24 - B, 0	97	4	1987 1869 1746 1742 1504 1448 1439 1438 1428 1423 1422 1304 1300 1283 1276 1261 1247 1240 1225 1156 1059 1006 995 960 935 908 842 723 596 577 487 405 310 270 229 225 199 197 167 1987 1869 1746 1742 1504 1448 1439 1438 1428 1423 1422 1304 1300 1283 1276 1261 1247 1240 1225 1156 1059 1006 995 960 935 908 842 723 596 577 487 405 310 270 229 225 199 197 167 1987 1869 1746 1742 1504 1448 1439 1438 1428 1423 1422 1304 1300 1283 1276 1261 1247 1240 1225 1156 1059 1006 995 960 935 908 842 723 596 577 487 405 310 270 229 225 199 197 167 
190	25 - A, 1	92	6	1984 1884 1836 1617 1533 1527 664 457 1964 1702 1243 1125 1000 602 255 1942 1675 1343 1028 553 490 404 355 1810 1569 903 779 733 188 185 
143	25 - A, 1	125	7	1853 1775 1774 1493 1406 1378 1299 719 589 1567 1433 1336 889 724 694 315 281 57 21 1960 1834 1701 1572 464 441 1421 1115 773 487 435 
222	25 - A, 1	43	3	1514 491 290 239 26 1997 1949 1824 1697 1449 1417 1398 1375 937 698 663 418 344 341 45 1952 1745 1269 1244 1003 523 1783 1408 1250 903 592 192 
176	25 - A, 1	89	4	1904 1902 1873 1684 1500 1116 1105 1076 169 1 1961 1910 1714 1458 1349 1035 938 509 370 19 1485 1348 1179 742 713 1891 1721 1448 1423 1150 910 487 
15	25 - A, 1	67	5	1866 1806 1629 1329 967 887 791 545 514 469 231 53 1669 1084 1039 795 760 670 602 1887 1587 1359 1264 970 925 793 484 392 271 193 788 749 
61	25 - A, 1	88	8	1724 1552 1299 858 453 123 1916 1463 1372 1365 1218 1135 1118 736 56 1966 1828 1483 1389 1137 866 825 754 1426 1303 1066 954 759 294 139 106 
70	25 - A, 1	13	2	1856 1801 1584 1491 1231 1151 1112 1063 924 905 1970 1665 1143 1073 913 492 485 201 1936 1091 693 470 186 47 1721 1579 1400 1027 792 635 274 134 95 
169	25 - A, 1	117	1	1608 1503 1262 1184 1101 858 839 260 133 1728 1689 1478 1164 1073 997 870 808 555 417 377 301 1934 1681 1590 1395 1322 1166 770 655 288 256 1183 1014 
236	25 - A, 1	102	9	1384 1212 1152 1057 1054 980 776 479 296 728 1883 1716 1518 1455 763 570 566 427 424 309 30 1911 1743 1289 1188 1065 853 722 501 383 
